Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier 1,Supplier Part Number 1

"FG11X5R0J107MRT06","CAP CER 100UF 6.3V X5R RADIAL","C1","CAP Radial 100uF","CAPC1608L","1","Digi-Key","445-173112-1-ND"
"ECE-A1EKA4R7I","CAP ALUM 4.7UF 20% 25V RADIAL","C2","CAP RADIAL MINIATURE","CAPC1608L","1","Digi-Key","ECE-A1EKA4R7I-ND"
"HLMP-HG64-VY0DD","LED RED DIFF 5MM OVAL T/H","D1","LED","LED","1","Digi-Key","516-2459-1-ND"
"0805L050WR","PTC Resettable Fuse 6V 500mA","F1","0805L","Fuse 2","1","Digi-Key","F2772CT-ND"
"ZX62-B-5PA(33)","Micro USB Connector","J1","Micro USB b","ZX62R-B-5P","1","Digi-Key","H125270CT-ND"
"Header 2H","Header, 2-Pin, Right Angle","J2, J6, J8, J9","HDR1X2","Header 2H","4","",""
"Header 6","Header, 6-Pin","J3, J4, J5","HDR1X6","Header 6","3","",""
"Header 4","Header, 4-Pin","J7","HDR1X4","Header 4","1","",""
"Arduino Pro Mini 5V 16MHz","","M1","Arduino Pro Mini","Arduino Pro Mini 5V 16MHz","1","",""
"nRF24L01+ Module","","M2","nRF24L01+ Module","nRF24L01+ Module","1","",""
"CFM14JT10K0","RES 10K OHM 1/4W 5% CF MINI","R1","AXIAL-3mm","Res1","1","Digi-Key","S10KQCT-ND"
"CFM14JT150R","RES 150 OHM 1/4W 5% CF MINI","R2","AXIAL-3mm","Res1","1","Digi-Key","S150QCT-ND"
"SW-SPST","Single-Pole, Single-Throw Switch","S1","SWITCH TS-1181","SW-SPST","1","Digi-Key","CKN10384CT-ND"
"FT232RL-Reel","USB UART Asynchronous Serial Data Transfer Chip, 28-pin SSOP, Tape and Reel","U1","SSOP-28_N","FT232RL-Reel","1","Digi-Key","768-1007-6-ND"
"Jumper","Jumper Wire","W1","HDR1X2","Jumper","1","",""
